frame_id,timestamp,total_detections,Safety,Productivity,Security/Logistics,Uncategorized
1,2026-02-01 05:13:22,5,2,2,0,1
2,2026-02-01 05:13:22,5,2,2,0,1
3,2026-02-01 05:13:22,7,3,2,0,2
4,2026-02-01 05:13:22,9,4,2,0,3
5,2026-02-01 05:13:22,9,3,2,0,4
6,2026-02-01 05:13:22,10,3,2,0,5
7,2026-02-01 05:13:22,11,4,2,0,5
8,2026-02-01 05:13:22,10,4,2,0,4
9,2026-02-01 05:13:22,9,2,3,0,4
10,2026-02-01 05:13:22,10,3,3,0,4
11,2026-02-01 05:13:22,11,4,3,0,4
12,2026-02-01 05:13:23,13,4,3,0,6
13,2026-02-01 05:13:23,14,4,3,0,7
14,2026-02-01 05:13:23,13,4,4,0,5
15,2026-02-01 05:13:23,14,5,4,0,5
16,2026-02-01 05:13:23,12,5,3,0,4
17,2026-02-01 05:13:23,14,5,3,0,6
18,2026-02-01 05:13:23,15,5,4,0,6
19,2026-02-01 05:13:23,14,4,3,0,7
20,2026-02-01 05:13:23,14,3,5,0,6
21,2026-02-01 05:13:23,13,3,5,0,5
22,2026-02-01 05:13:23,11,3,5,0,3
23,2026-02-01 05:13:23,12,3,5,0,4
24,2026-02-01 05:13:23,10,4,3,0,3
25,2026-02-01 05:13:23,10,3,4,0,3
26,2026-02-01 05:13:23,11,3,5,0,3
27,2026-02-01 05:13:23,11,3,4,0,4
28,2026-02-01 05:13:23,9,3,2,0,4
29,2026-02-01 05:13:23,10,3,3,0,4
30,2026-02-01 05:13:24,11,4,2,0,5
31,2026-02-01 05:13:24,11,4,2,0,5
32,2026-02-01 05:13:24,12,4,3,0,5
33,2026-02-01 05:13:24,10,4,2,0,4
34,2026-02-01 05:13:24,9,3,2,0,4
35,2026-02-01 05:13:24,10,3,3,0,4
36,2026-02-01 05:13:24,8,3,2,0,3
37,2026-02-01 05:13:24,8,2,3,0,3
38,2026-02-01 05:13:24,8,2,3,0,3
39,2026-02-01 05:13:24,8,2,3,0,3
40,2026-02-01 05:13:24,8,2,2,0,4
41,2026-02-01 05:13:24,8,2,2,0,4
42,2026-02-01 05:13:24,8,2,2,0,4
43,2026-02-01 05:13:24,7,2,2,0,3
44,2026-02-01 05:13:24,8,2,3,0,3
45,2026-02-01 05:13:24,10,2,4,0,4
46,2026-02-01 05:13:24,9,2,4,0,3
47,2026-02-01 05:13:24,12,4,3,0,5
48,2026-02-01 05:13:25,12,3,3,0,6
49,2026-02-01 05:13:25,11,3,3,0,5
50,2026-02-01 05:13:25,9,2,3,0,4
51,2026-02-01 05:13:25,11,2,4,0,5
52,2026-02-01 05:13:25,7,3,2,0,2
53,2026-02-01 05:13:25,5,2,2,0,1
54,2026-02-01 05:13:25,9,4,3,0,2
55,2026-02-01 05:13:25,10,3,4,0,3
56,2026-02-01 05:13:25,9,1,3,0,5
57,2026-02-01 05:13:25,10,1,3,0,6
58,2026-02-01 05:13:25,9,1,3,0,5
59,2026-02-01 05:13:25,8,1,2,0,5
60,2026-02-01 05:13:25,10,1,3,0,6
61,2026-02-01 05:13:25,9,1,3,0,5
62,2026-02-01 05:13:25,8,2,3,0,3
63,2026-02-01 05:13:25,10,3,4,0,3
64,2026-02-01 05:13:25,10,3,4,0,3
65,2026-02-01 05:13:25,12,4,3,0,5
66,2026-02-01 05:13:26,11,3,3,0,5
67,2026-02-01 05:13:26,9,1,3,0,5
68,2026-02-01 05:13:26,13,3,4,0,6
69,2026-02-01 05:13:26,11,2,4,0,5
70,2026-02-01 05:13:26,8,2,3,0,3
71,2026-02-01 05:13:26,10,3,4,0,3
72,2026-02-01 05:13:26,10,2,4,0,4
73,2026-02-01 05:13:26,12,3,3,0,6
74,2026-02-01 05:13:26,13,2,4,0,7
75,2026-02-01 05:13:26,12,3,3,0,6
76,2026-02-01 05:13:26,10,2,3,0,5
77,2026-02-01 05:13:26,10,2,3,0,5
78,2026-02-01 05:13:26,11,2,5,0,4
79,2026-02-01 05:13:26,9,2,5,0,2
80,2026-02-01 05:13:26,13,3,3,0,7
81,2026-02-01 05:13:26,9,2,3,0,4
82,2026-02-01 05:13:26,12,2,4,0,6
83,2026-02-01 05:13:26,9,1,4,0,4
84,2026-02-01 05:13:26,9,2,3,0,4
85,2026-02-01 05:13:26,7,0,3,0,4
86,2026-02-01 05:13:27,11,3,3,0,5
87,2026-02-01 05:13:27,12,2,4,0,6
88,2026-02-01 05:13:27,7,2,3,0,2
89,2026-02-01 05:13:27,9,3,4,0,2
90,2026-02-01 05:13:27,7,1,3,0,3
91,2026-02-01 05:13:27,8,3,3,0,2
92,2026-02-01 05:13:27,10,2,3,0,5
93,2026-02-01 05:13:27,8,2,4,0,2
94,2026-02-01 05:13:27,8,2,3,0,3
95,2026-02-01 05:13:27,5,1,2,0,2
96,2026-02-01 05:13:27,8,2,3,0,3
97,2026-02-01 05:13:27,6,3,2,0,1
98,2026-02-01 05:13:27,6,3,2,0,1
99,2026-02-01 05:13:27,9,4,2,0,3
100,2026-02-01 05:13:27,8,3,2,0,3
101,2026-02-01 05:13:27,6,2,2,0,2
102,2026-02-01 05:13:27,6,3,2,0,1
103,2026-02-01 05:13:27,7,2,2,0,3
104,2026-02-01 05:13:27,8,3,2,0,3
105,2026-02-01 05:13:27,7,2,2,0,3
106,2026-02-01 05:13:28,9,2,3,0,4
107,2026-02-01 05:13:28,8,2,3,0,3
108,2026-02-01 05:13:28,9,3,3,0,3
109,2026-02-01 05:13:28,9,3,3,0,3
110,2026-02-01 05:13:28,9,4,3,0,2
111,2026-02-01 05:13:28,7,2,3,0,2
112,2026-02-01 05:13:28,9,4,3,0,2
113,2026-02-01 05:13:28,9,4,2,0,3
114,2026-02-01 05:13:28,8,3,2,0,3
115,2026-02-01 05:13:28,9,2,3,0,4
116,2026-02-01 05:13:28,7,1,3,0,3
117,2026-02-01 05:13:28,9,2,2,0,5
118,2026-02-01 05:13:28,14,4,4,0,6
119,2026-02-01 05:13:28,8,2,4,0,2
120,2026-02-01 05:13:28,12,4,4,0,4
121,2026-02-01 05:13:28,9,3,3,0,3
122,2026-02-01 05:13:28,8,2,4,0,2
123,2026-02-01 05:13:28,10,3,4,0,3
124,2026-02-01 05:13:28,11,4,3,0,4
125,2026-02-01 05:13:29,10,3,4,0,3
126,2026-02-01 05:13:29,10,2,4,0,4
127,2026-02-01 05:13:29,10,3,3,0,4
128,2026-02-01 05:13:29,7,2,3,0,2
129,2026-02-01 05:13:29,7,1,4,0,2
130,2026-02-01 05:13:29,11,5,4,0,2
131,2026-02-01 05:13:29,10,4,3,0,3
132,2026-02-01 05:13:29,8,1,4,0,3
133,2026-02-01 05:13:29,7,1,3,0,3
134,2026-02-01 05:13:29,10,3,4,0,3
135,2026-02-01 05:13:29,9,1,5,0,3
136,2026-02-01 05:13:29,9,2,5,0,2
137,2026-02-01 05:13:29,12,3,5,0,4
138,2026-02-01 05:13:29,9,2,5,0,2
139,2026-02-01 05:13:29,9,2,5,0,2
140,2026-02-01 05:13:29,7,1,5,0,1
141,2026-02-01 05:13:29,8,1,3,0,4
142,2026-02-01 05:13:29,7,0,4,0,3
143,2026-02-01 05:13:29,8,1,4,0,3
144,2026-02-01 05:13:29,10,0,5,0,5
145,2026-02-01 05:13:30,12,3,5,0,4
146,2026-02-01 05:13:30,15,4,5,0,6
